pathway	size	pval	padj	NES
NEGATIVE REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902106	73	0.0037	0.0164	1.6772
REGULATION OF RNA SPLICING%GOBP%GO:0043484	173	4.0868e-7	0	1.9599
APOPTOTIC PROCESS%GOBP%GO:0006915	452	0.0000039908	0.0001	1.6345
CHOLESTEROL BIOSYNTHETIC PROCESS%GOBP%GO:0006695	26	0.0023	0.0114	-1.8441
REGULATION OF ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050854	52	0.004	0.0173	1.7346
CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES	48	0	0.0004	2.1177
REGULATION OF LYMPHOCYTE CHEMOTAXIS%GOBP%GO:1901623	22	0.0138	0.0447	1.6881
RISEDRONATE ACTION PATHWAY%PATHWHIZ%PW000272	21	0.0026	0.0124	-1.8161
REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:0033044	238	0.0001	0.0008	-1.5791
REGULATION OF LIPID METABOLISM BY PPARALPHA%REACTOME%R-HSA-400206.8	115	0	0.0003	1.867
CALCIUM ION TRANSPORT%GOBP%GO:0006816	190	0.0134	0.0438	1.4347
PURINE RIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009150	308	7.4866e-8	0.0000022994	-1.8312
UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0006511	452	2.7933e-7	0.0000072037	1.6946
GLUTAMINE FAMILY AMINO ACID METABOLIC PROCESS%GOBP%GO:0009064	52	0.0055	0.0223	-1.6399
RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009161	29	0.0073	0.0279	-1.7118
REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042129	127	0.0000019419	0	2.018
SPINDLE LOCALIZATION%GOBP%GO:0051653	52	0.0153	0.0487	-1.5627
GROWTH HORMONE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0060396	20	0.0001	0.001	2.0774
ORGANIC HYDROXY COMPOUND METABOLIC PROCESS%GOBP%GO:1901615	339	0.0004	0.0027	-1.4872
NEGATIVE REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0045841	29	0.000002557	0	-2.2365
NEGATIVE REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0051093	583	6.5684e-7	0	1.6626
REGULATION OF AUTOPHAGY%GOBP%GO:0010506	334	0.0007	0.0045	1.4884
POSITIVE REGULATION OF CELL ADHESION%GOBP%GO:0045785	379	6.3508e-12	6.3402e-10	2.04
SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE	58	0.0009	0.0053	1.8135
TRANSLATION%GOBP%GO:0006412	345	1.0847e-10	7.5337e-9	-1.9527
GOLGI ASSOCIATED VESICLE BIOGENESIS%REACTOME%R-HSA-432722.5	54	0.0018	0.0093	1.7217
NOTCH%IOB%NOTCH	54	0	0.0003	2.0746
PID_GLYPICAN_1PATHWAY%MSIGDB_C2%PID_GLYPICAN_1PATHWAY	23	0.001	0.0058	1.933
REGULATION OF CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0039531	110	0.0059	0.0235	1.5306
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050679	138	0.0007	0.0042	1.7122
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.3	88	7.3686e-9	3.1275e-7	-2.2885
TRIF (TICAM1)-MEDIATED TLR4 SIGNALING%REACTOME DATABASE ID RELEASE 81%937061	106	8.5412e-9	3.4803e-7	2.2013
SARS-COV-1 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 81%9735869	37	0.000009299	0.0001	-2.1712
DNA MISMATCH REPAIR%WIKIPATHWAYS_20240410%WP531%HOMO SAPIENS	18	0.0013	0.0073	-1.9568
HEART MORPHOGENESIS%GOBP%GO:0003007	165	0.0123	0.0411	1.5105
PID_TNF_PATHWAY%MSIGDB_C2%PID_TNF_PATHWAY	39	4.478e-8	0.0000014956	2.4456
POSITIVE REGULATION OF PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE%GOBP%GO:0002702	94	0.0003	0.0023	1.7918
SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 81%69239	121	1.6021e-7	0.0000043136	-2.1077
TOLL LIKE RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP75%HOMO SAPIENS	90	2.163e-11	1.8362e-9	2.527
REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GOBP%GO:1902099	89	0.0000019348	0	-2.0878
POSITIVE REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071677	74	0.0054	0.022	1.6745
EBOLA VIRUS INFECTION IN HOST%WIKIPATHWAYS_20240410%WP4217%HOMO SAPIENS	116	0.0001	0.0008	1.8306
HIF-2-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-2-ALPHA TRANSCRIPTION FACTOR NETWORK	34	0.0043	0.0184	1.758
PROCESSIVE SYNTHESIS ON THE LAGGING STRAND%REACTOME%R-HSA-69183.4	15	0.0004	0.003	-2.0187
REGULATION OF RECEPTOR SIGNALING PATHWAY VIA JAK-STAT%GOBP%GO:0046425	61	0.0003	0.0021	1.9252
DNA MODIFICATION%GOBP%GO:0006304	32	0.0007	0.0044	-1.9636
RHO GTPASES ACTIVATE FORMINS%REACTOME DATABASE ID RELEASE 81%5663220	116	0.0003	0.0023	-1.662
NEGATIVE REGULATION OF TRANSMEMBRANE TRANSPORT%GOBP%GO:0034763	89	0.0058	0.023	1.5657
TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME DATABASE ID RELEASE 81%8878159	95	0.0016	0.0085	1.6538
EXTRAFOLLICULAR AND FOLLICULAR B CELL ACTIVATION BY SARS COV 2%WIKIPATHWAYS_20240410%WP5218%HOMO SAPIENS	67	0	0.0003	2.0801
MRNA PROCESSING%GOBP%GO:0006397	287	0.0007	0.0044	1.5188
E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION	36	0.002	0.0103	1.8097
AEROBIC RESPIRATION%GOBP%GO:0009060	133	0.0001	0.0006	-1.7858
NEGATIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002832	106	0.0002	0.0015	1.7886
TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY DREAM COMPLEX%REACTOME%R-HSA-1362277.3	19	0	0.0005	-2.1281
TOLL LIKE RECEPTOR 7 8 (TLR7 8) CASCADE%REACTOME%R-HSA-168181.8	101	8.4573e-7	0	2.0441
POSITIVE REGULATION OF HEART GROWTH%GOBP%GO:0060421	20	0.0017	0.0091	1.8849
PROGRAMMED CELL DEATH%REACTOME DATABASE ID RELEASE 81%5357801	207	0.0001	0.0007	1.7228
TNF RELATED WEAK INDUCER OF APOPTOSIS TWEAK SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP2036%HOMO SAPIENS	35	5.5326e-7	0	2.3347
REGULATION OF MITOTIC CELL CYCLE SPINDLE ASSEMBLY CHECKPOINT%GOBP%GO:0090266	22	0.0045	0.019	-1.7547
REGULATION OF CELL GROWTH%GOBP%GO:0001558	291	0.0079	0.0295	1.407
FORMATION OF ATP BY CHEMIOSMOTIC COUPLING%REACTOME%R-HSA-163210.4	18	0.0033	0.015	-1.8005
ENDOCHONDRAL OSSIFICATION%WIKIPATHWAYS_20240410%WP474%HOMO SAPIENS	53	0.0039	0.0171	1.7111
PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	38	0.0008	0.005	-1.8789
TELOMERE C-STRAND (LAGGING STRAND) SYNTHESIS%REACTOME%R-HSA-174417.5	34	0.0002	0.0015	-1.9982
BIOCARTA_PDGF_PATHWAY%MSIGDB_C2%BIOCARTA_PDGF_PATHWAY	22	0.0014	0.0077	1.8837
REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010594	155	0	0.0004	1.7963
POSITIVE REGULATION OF DEPHOSPHORYLATION%GOBP%GO:0035306	49	0.0039	0.017	1.7397
POSITIVE REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:1903846	25	0.0032	0.0146	1.7922
EXTENSION OF TELOMERES%REACTOME%R-HSA-180786.4	51	0	0.0002	-2.073
REGULATION OF T-HELPER 17 TYPE IMMUNE RESPONSE%GOBP%GO:2000316	27	0	0.0003	2.1358
PID_IL4_2PATHWAY%MSIGDB_C2%PID_IL4_2PATHWAY	52	0.0007	0.0046	1.883
T CELL ANTIGEN RECEPTOR TCR PATHWAY DURING STAPHYLOCOCCUS AUREUS INFECTION%WIKIPATHWAYS_20240410%WP3863%HOMO SAPIENS	54	0.0006	0.0039	1.905
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	33	0.0000015337	0	-2.2748
MONOCARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0032787	415	0.0000020531	0	-1.6619
PID_P38_ALPHA_BETA_PATHWAY%MSIGDB_C2%PID_P38_ALPHA_BETA_PATHWAY	24	0.0002	0.0013	2.077
BASE-EXCISION REPAIR%GOBP%GO:0006284	39	0.0001	0.0012	-1.9845
SARS-COV-1 ACTIVATES MODULATES INNATE IMMUNE RESPONSES%REACTOME%R-HSA-9692916.2	41	0.0004	0.0029	1.9614
SULFUR COMPOUND METABOLIC PROCESS%GOBP%GO:0006790	278	0.0004	0.0028	-1.5209
RANKL RANK SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP2018%HOMO SAPIENS	46	0	0.0003	2.0921
REGULATION OF HORMONE METABOLIC PROCESS%GOBP%GO:0032350	27	0.0031	0.0142	1.8072
PURINE RIBONUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009152	160	0	0.0002	-1.8015
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	38	0.0063	0.0245	1.7322
DEOXYRIBOSE PHOSPHATE METABOLIC PROCESS%GOBP%GO:0019692	29	0.0011	0.0061	-1.8963
2Q13 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240410%WP5222%HOMO SAPIENS	53	0.0024	0.0116	1.7832
POSITIVE REGULATION OF PROTEIN CATABOLIC PROCESS%GOBP%GO:0045732	172	0.0106	0.0369	1.4436
DNA REPLICATION%GOBP%GO:0006260	152	1.7823e-12	3.1125e-10	-2.4167
MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000398	232	0.0041	0.0176	1.4369
POSITIVE REGULATION OF HYDROLASE ACTIVITY%GOBP%GO:0051345	344	0.0093	0.0335	1.3572
REGULATION OF INTERLEUKIN-2 PRODUCTION%GOBP%GO:0032663	50	0.0064	0.0249	1.6927
ADIPOGENESIS%WIKIPATHWAYS_20240410%WP236%HOMO SAPIENS	113	0.0003	0.0023	1.769
PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	78	0	0.0004	-1.9908
NEGATIVE REGULATION OF SECRETION%GOBP%GO:0051048	106	0.0115	0.039	1.5258
SHP2 SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SHP2 SIGNALING	58	0.0054	0.022	1.6977
NEGATIVE REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090288	84	0.0011	0.0061	1.7882
BLADDER CANCER%WIKIPATHWAYS_20240410%WP2828%HOMO SAPIENS	34	0.0128	0.0425	1.6433
EVASION BY RSV OF HOST INTERFERON RESPONSES%REACTOME DATABASE ID RELEASE 81%9833109	33	0.0004	0.0027	2.0198
SENESCENCE-ASSOCIATED SECRETORY PHENOTYPE (SASP)%REACTOME%R-HSA-2559582.4	79	0.0025	0.0123	1.7022
SIGNALING BY ALK IN CANCER%REACTOME DATABASE ID RELEASE 81%9700206	89	0.0001	0.0008	1.8816
CYTOSOLIC DNA SENSING PATHWAY%WIKIPATHWAYS_20240410%WP4655%HOMO SAPIENS	71	0.0001	0.0009	1.9428
NEGATIVE REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035308	25	0.0003	0.0025	1.9736
REGULATION OF POST-TRANSLATIONAL PROTEIN MODIFICATION%GOBP%GO:1901873	208	0.0011	0.0066	1.5549
PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	42	0.0004	0.0028	-1.9115
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY%GOBP%GO:0000184	29	0.0043	0.0184	1.7951
CELL SURFACE RECEPTOR SIGNALING PATHWAY VIA JAK-STAT%GOBP%GO:0007259	38	0.0001	0.0007	2.0912
METABOLIC REPROGRAMMING IN COLON CANCER%WIKIPATHWAYS_20240410%WP4290%HOMO SAPIENS	29	0.0026	0.0124	-1.8074
IL 18 SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP4754%HOMO SAPIENS	49	0.0023	0.0114	1.8319
POSITIVE REGULATION OF PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL%GOBP%GO:1903322	111	0.0122	0.0409	1.4697
RESPONSE TO STARVATION%GOBP%GO:0042594	155	0.0001	0.0012	1.7175
CELL ACTIVATION%GOBP%GO:0001775	487	0.0001	0.0009	1.5474
REGULATION OF RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1905897	76	0.0044	0.0188	1.6499
DESMOSTEROLOSIS%PATHWHIZ%PW000097	21	0.0026	0.0124	-1.8161
CELL CYCLE DNA REPLICATION%GOBP%GO:0044786	25	0.0001	0.001	-2.0176
NEGATIVE REGULATORS OF RIG-I MDA5 SIGNALING%REACTOME DATABASE ID RELEASE 81%936440	35	0.0041	0.0177	1.8049
FLT3 SIGNALING%REACTOME%R-HSA-9607240.8	36	0.0126	0.0418	1.674
RESOLUTION OF ABASIC SITES (AP SITES)%REACTOME DATABASE ID RELEASE 81%73933	36	9.7027e-7	0	-2.2993
TELOMERE MAINTENANCE%REACTOME%R-HSA-157579.7	91	0.0029	0.0133	-1.6172
FATTY ACID METABOLIC PROCESS%GOBP%GO:0006631	265	0	0.0005	-1.646
TNFALPHA%IOB%TNFALPHA	168	4.0897e-8	0.0000013734	2.0258
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	80	3.1261e-12	4.2459e-10	-2.6634
BACTERIAL INFECTION PATHWAYS%REACTOME%R-HSA-9824439.2	66	0.0018	0.0094	1.7657
TCR SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TCR SIGNALING IN NAIVE CD8+ T CELLS	53	0.003	0.0137	1.7614
TRANSFORMING GROWTH FACTOR BETA RECEPTOR SUPERFAMILY SIGNALING PATHWAY%GOBP%GO:0141091	121	0	0.0002	1.8994
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:1901797	27	0.0003	0.002	2.0024
ONE CARBON METABOLISM%WIKIPATHWAYS_20240410%WP241%HOMO SAPIENS	22	0.0047	0.0194	-1.8253
DICARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0043648	72	0.0014	0.0076	-1.716
MEMBRANE FUSION%GOBP%GO:0061025	148	0.0006	0.004	1.6844
DUAL INCISION IN GG-NER%REACTOME DATABASE ID RELEASE 81%5696400	41	0.0021	0.0104	-1.7647
COGNITION%GOBP%GO:0050890	155	0.0014	0.0079	1.6555
DNA REPLICATION%PANTHER PATHWAY%P00017	17	0.0005	0.0034	-2.0076
REGULATION OF T-HELPER 17 CELL DIFFERENTIATION%GOBP%GO:2000319	20	0.0000013059	0	2.2914
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	80	4.6616e-12	4.9124e-10	-2.6517
REGULATION OF CELL ACTIVATION%GOBP%GO:0050865	478	1.2399e-10	8.42e-9	1.9098
DNA STRAND ELONGATION%GOBP%GO:0022616	20	0.0005	0.0035	-1.948
ORGANELLE BIOGENESIS AND MAINTENANCE%REACTOME%R-HSA-1852241.7	277	0.0062	0.0244	-1.3597
DEFECTIVE HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO BRCA1 LOSS OF FUNCTION%REACTOME DATABASE ID RELEASE 81%9701192	25	0.0045	0.0189	-1.6882
NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181	23	0.0091	0.0329	1.7226
RESPONSE TO DECREASED OXYGEN LEVELS%GOBP%GO:0036293	140	0.0002	0.0019	1.6758
ESTROGEN SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP712%HOMO SAPIENS	18	0.0048	0.02	1.7959
LYMPHOCYTE ACTIVATION%GOBP%GO:0046649	296	0.0034	0.0151	1.469
SIGNALING BY PDGF%REACTOME%R-HSA-186797.6	49	0.0004	0.0029	1.9414
THYMIC STROMAL LYMPHOPOIETIN TSLP SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP2203%HOMO SAPIENS	33	0.0019	0.01	1.8558
TOLL LIKE RECEPTOR TLR6:TLR2 CASCADE%REACTOME%R-HSA-168188.3	110	0.0000027512	0	1.991
EGFR1%IOB%EGFR1	374	8.9549e-9	3.5939e-7	1.8646
FC EPSILON RECEPTOR (FCERI) SIGNALING%REACTOME%R-HSA-2454202.5	213	0.0112	0.0383	1.4421
RESPONSE TO CYTOKINE%GOBP%GO:0034097	520	9.3116e-26	1.8971e-22	2.4209
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010718	51	0.0002	0.0016	1.9535
CD40 CD40L SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CD40 CD40L SIGNALING	36	4.5332e-7	0	2.3381
G2 M CHECKPOINTS%REACTOME%R-HSA-69481.5	150	0	0.0003	-1.775
SMALL MOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0044283	372	2.8343e-7	0.0000072786	-1.7634
TRAF6 MEDIATED IRF7 ACTIVATION%REACTOME DATABASE ID RELEASE 81%933541	28	0.0001	0.0009	2.0899
ENDOSOME TO LYSOSOME TRANSPORT%GOBP%GO:0008333	70	0.0007	0.0045	1.8006
L-AMINO ACID BIOSYNTHETIC PROCESS%GOBP%GO:0170034	48	0.0001	0.0007	-2.0472
EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0030855	366	0.0155	0.0491	1.3647
PAMIDRONATE ACTION PATHWAY%PATHWHIZ%PW000273	21	0.0026	0.0124	-1.8161
ESTROGEN-DEPENDENT GENE EXPRESSION%REACTOME DATABASE ID RELEASE 81%9018519	116	0.0000012445	0	2.0361
REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032652	96	0.0015	0.008	1.6934
HOST PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES INTERFERON INDUCTION%WIKIPATHWAYS_20240410%WP4880%HOMO SAPIENS	33	5.5991e-11	4.1734e-9	2.6776
PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY OF THE HEART%WIKIPATHWAYS_20240410%WP1528%HOMO SAPIENS	21	0.0056	0.0226	1.7846
RHYTHMIC PROCESS%GOBP%GO:0048511	119	0.0000016709	0	1.9966
LISTERIA MONOCYTOGENES ENTRY INTO HOST CELLS%REACTOME DATABASE ID RELEASE 81%8876384	19	0.013	0.0429	1.7061
ENDOMEMBRANE SYSTEM ORGANIZATION%GOBP%GO:0010256	487	0.0001	0.001	1.5054
DNA INTEGRITY CHECKPOINT SIGNALING%GOBP%GO:0031570	108	0.0143	0.046	-1.4383
POSITIVE REGULATION OF TYPE II INTERFERON PRODUCTION%GOBP%GO:0032729	59	0.0088	0.032	1.5682
DIMETHYLGLYCINE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000242	24	0.0013	0.0072	-1.8689
SKIN DEVELOPMENT%GOBP%GO:0043588	138	0.0051	0.021	1.6327
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.4	113	3.0458e-9	1.4103e-7	-2.2349
TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002224	39	0.0007	0.0043	1.92
ORGANELLE MEMBRANE FUSION%GOBP%GO:0090174	96	0.0007	0.0044	1.722
APOPTOSIS SIGNALING PATHWAY%PANTHER PATHWAY%P00006	92	3.9901e-8	0.0000013474	2.2182
WOUND HEALING, SPREADING OF CELLS%GOBP%GO:0044319	29	0.0091	0.0329	1.7663
MYD88-INDEPENDENT TLR4 CASCADE%REACTOME%R-HSA-166166.4	106	8.5412e-9	3.4803e-7	2.2013
REGULATION OF CELLULAR RESPONSE TO HEAT%GOBP%GO:1900034	16	0.0052	0.0214	1.7824
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	80	0.0108	0.0373	-1.559
CELLULAR RESPONSE TO REACTIVE OXYGEN SPECIES%GOBP%GO:0034614	93	0.0117	0.0394	1.5224
MITOCHONDRIAL PROTEIN DEGRADATION%REACTOME%R-HSA-9837999.2	97	0	0.0002	-1.9435
ENDODERM DEVELOPMENT%GOBP%GO:0007492	52	0.0022	0.0112	1.7699
PYRIMIDINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0006221	15	0.0073	0.0278	-1.7522
GASTRIC CANCER NETWORK 2%WIKIPATHWAYS_20240410%WP2363%HOMO SAPIENS	29	0.012	0.0403	-1.6894
CELLULAR RESPONSE TO STARVATION%GOBP%GO:0009267	133	0.0000040099	0.0001	1.9009
DEFECTIVE HDR THROUGH HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO PALB2 LOSS OF BRCA1 BINDING FUNCTION%REACTOME%R-HSA-9704331.4	25	0.0045	0.0189	-1.6882
DNA REPLICATION%REACTOME DATABASE ID RELEASE 81%69306	155	0.0001	0.0011	-1.7063
REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002703	184	0.0001	0.0008	1.731
VIRAL BUDDING%GOBP%GO:0046755	25	0.012	0.0403	1.6204
SIGNALING BY TGFB FAMILY MEMBERS%REACTOME%R-HSA-9006936.8	121	0.0000089337	0.0001	1.8999
ORGANOPHOSPHATE CATABOLIC PROCESS%GOBP%GO:0046434	141	0.0006	0.0038	-1.6103
REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090092	216	1.4192e-7	0.0000038653	1.9682
PRAVASTATIN ACTION PATHWAY%SMPDB%SMP0000089	21	0.0026	0.0124	-1.8161
CELLULAR RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0071216	157	7.1762e-10	3.9515e-8	2.2041
APOPTOSIS MODULATION AND SIGNALING%WIKIPATHWAYS_20240410%WP1772%HOMO SAPIENS	77	0.0007	0.0044	1.798
ANCHORING OF THE BASAL BODY TO THE PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 81%5620912	96	0.003	0.0139	-1.5496
NEGATIVE REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030512	80	0.0034	0.0153	1.6928
SPHINGOLIPID PATHWAY%WIKIPATHWAYS_20240410%WP1422%HOMO SAPIENS	24	0.0122	0.0408	1.6771
POSITIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:1901970	18	0.0157	0.0496	-1.6776
EPO SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPO SIGNALING PATHWAY	33	0.0103	0.0362	1.6748
NUCLEOBASE-CONTAINING SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0055086	502	6.5352e-12	6.3402e-10	-1.9369
T CELL MODULATION IN PANCREATIC CANCER%WIKIPATHWAYS_20240410%WP5078%HOMO SAPIENS	36	0.0018	0.0093	1.8607
POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE%GOBP%GO:0070374	157	0.0081	0.03	1.4855
RESPONSE TO LIPID%GOBP%GO:0033993	446	1.221e-12	2.1949e-10	2.0231
ADP CATABOLIC PROCESS%GOBP%GO:0046032	34	0.0133	0.0437	-1.5586
SARS-COV-2 INFECTION%REACTOME DATABASE ID RELEASE 81%9694516	293	0.0003	0.002	1.5627
AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.8	363	5.9081e-10	3.3217e-8	-1.9499
REGULATION OF COAGULATION%GOBP%GO:0050818	58	0.0027	0.0127	1.8124
T CELL RECEPTOR SIGNALING PATHWAY%SMPDB%SMP0066977	47	0.0022	0.0112	1.7686
PID_P75_NTR_PATHWAY%MSIGDB_C2%PID_P75_NTR_PATHWAY	57	0.0001	0.0011	1.9761
TRNA CHARGING%BIOCYC%TRNA-CHARGING-PWY	38	0	0.0003	-2.1288
NEGATIVE REGULATION OF CELL CYCLE%GOBP%GO:0045786	312	0.0032	0.0143	-1.3743
POSITIVE REGULATION OF RNA SPLICING%GOBP%GO:0033120	39	0.0029	0.0133	1.7599
T CELL COSTIMULATION%GOBP%GO:0031295	36	0.0149	0.0477	1.6672
HEPATITIS C AND HEPATOCELLULAR CARCINOMA%WIKIPATHWAYS_20240410%WP3646%HOMO SAPIENS	42	0.0002	0.0019	1.9777
PID_BARD1_PATHWAY%MSIGDB_C2%PID_BARD1_PATHWAY	26	0.0031	0.0142	-1.7371
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GOBP%GO:0000377	232	0.0041	0.0176	1.4369
REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050678	236	6.5007e-8	0.0000020912	1.96
ERBB2 ERBB3 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB2 ERBB3 SIGNALING EVENTS	41	0.0032	0.0143	1.7783
RIBOSE PHOSPHATE METABOLIC PROCESS%GOBP%GO:0019693	331	3.9604e-10	2.2836e-8	-1.9893
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	154	0.0000030494	0.0001	-1.8968
DEVELOPMENT AND HETEROGENEITY OF THE ILC FAMILY%WIKIPATHWAYS_20240410%WP3893%HOMO SAPIENS	31	0.0013	0.0071	1.9296
DISEASES OF SIGNAL TRANSDUCTION BY GROWTH FACTOR RECEPTORS AND SECOND MESSENGERS%REACTOME DATABASE ID RELEASE 81%5663202	443	5.6406e-13	1.2109e-10	2.0034
CELLULAR RESPONSE TO TUMOR NECROSIS FACTOR%GOBP%GO:0071356	90	2.9404e-7	0.0000074883	2.1655
RIBOSOME BIOGENESIS%GOBP%GO:0042254	246	0.0018	0.0093	-1.442
POSITIVE REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000630	54	0.0001	0.0009	2.0163
CELLULAR RESPONSE TO LIPID%GOBP%GO:0071396	326	3.4057e-10	2.0816e-8	2.0012
